numero;question;proposition_a;proposition_b;proposition_c;proposition_d;bonne_reponse
20;Quel mot désigne souvent une chanson ou une danse lancée comme tendance dans le coupé-décalé ?;Cantate;Sonate;Aria;Concept;D
21;Quel style musical ivoirien est né avant le coupé-décalé et a inspiré plusieurs artistes urbains ?;Zouglou;Trap américaine;Flamenco;Disco italienne;A
22;Quel artiste est associé au zoblazo et au groupe Zo Gang ?;DJ Lewis;Meiway;Kaaris;Soum Bill;B
23;Quel genre musical ivoirien est très lié à la fête, à l’apparat et au « travaillement » ?;Gospel;Mandopop;Coupé-décalé;Blues;C
24;Quel artiste ivoirien a fait connaître le reggae ivoirien à l’international ?;Bebi Philip;Kédjévara;Josey;Alpha Blondy;D
25;Quel genre musical ivoirien utilise souvent des textes en français populaire et en nouchi ?;Zouglou;Country;Opéra;Bossa nova;A
26;Quel nom est associé au leader du groupe Magic System ?;Kerozen;A'Salfo;DJ Jacob;Didi B;B
27;Quel style musical est connu comme une musique de danse très populaire en Côte d’Ivoire ?;Musette;Bluegrass;Coupé-décalé;Fado;C
28;Quel genre ivoirien est souvent lié aux voix de groupes masculins chantant des réalités du quotidien ?;Electro;Punk;Reggaeton;Zouglou;D
29;Quel artiste ivoirien est célèbre pour le titre « Coupé Bibamba » ?;Awilo Longomba;Bebi Philip;Meiway;Ariel Sheney;A
30;Quel artiste ivoirien est connu dans le reggae pour ses prises de position politiques ?;DJ Mix;Tiken Jah Fakoly;Kédjévara;Serge Beynaud;B
31;Quel mouvement musical ivoirien a été porté par Douk Saga ?;Zoblazo;Youssoumba;Coupé-décalé;Mapouka;C
32;Quel terme désigne le langage populaire ivoirien souvent présent dans les chansons urbaines ?;Lingala;Araméen;Créole haïtien;Nouchi;D
33;Quelle musique ivoirienne moderne parle souvent de solidarité, de galère et d’espoir ?;Zouglou;Techno minimale;Tango argentin;Country pop;A
34;Quel chanteur ivoirien est connu pour « Premier Gaou » avec son groupe ?;Debordo Leekunfa;A'Salfo;Billy Billy;Tiken Jah Fakoly;B
35;Quel genre est associé à la danse « la danse du fessier » ?;Zoblazo;Boloye;Mapouka;Gospel;C
36;Quel artiste ivoirien était connu pour ses nombreux concepts de danse dans le coupé-décalé ?;Alpha Blondy;Meiway;Dobet Gnahoré;DJ Arafat;D
37;Quel genre musical ivoirien peut être chanté de façon satirique pour critiquer la société ?;Zouglou;Disco;Classique;House;A
38;Quel artiste est souvent présenté comme un ambassadeur du zoblazo ?;Kerozen;Meiway;DJ Arafat;Didi B;B
39;Quel genre ivoirien est né dans l’ambiance des nuits, des maquis et des discothèques ?;Mbalax;Flamenco;Coupé-décalé;Polka;C
40;Quel groupe ivoirien a fortement contribué à populariser le zouglou hors de Côte d’Ivoire ?;Zo Gang;Les Wampas;Choc Stars;Magic System;D
41;Quel artiste ivoirien de reggae est aussi appelé « Jagger » par certains fans ?;Alpha Blondy;Meiway;DJ Lewis;Kédjévara;A
42;Quel genre musical ivoirien s’appuie souvent sur des chœurs et des refrains faciles à reprendre ?;Ska punk;Zouglou;Métal;Fado;B
43;Quel style ivoirien est fortement associé aux DJ, aux danseurs et aux atalakus ?;Zoblazo;Opéra;Coupé-décalé;Jazz manouche;C
44;Quel artiste ivoirien est connu pour son univers reggae engagé et ses concerts internationaux ?;Bebi Philip;DJ Mix;Ariel Sheney;Tiken Jah Fakoly;D
45;Quel genre ivoirien a popularisé des pas comme « Grippe aviaire » ou d’autres danses-concepts ?;Coupé-décalé;Blues;Country;Classique;A
46;Quelle musique ivoirienne est souvent chantée par des groupes racontant les réalités des quartiers ?;Salsa;Zouglou;Rock progressif;Flamenco;B
47;Quel artiste ivoirien est associé au titre « Sweet Fanta Diallo » ?;Meiway;DJ Arafat;Alpha Blondy;Didi B;C
48;Quel genre traditionnel ivoirien est souvent lié aux peuples du Nord et aux rythmes cérémoniels ?;Rap ivoire;Zoblazo;Coupé-décalé;Boloye;D
49;Quel genre ivoirien a été fortement exporté grâce à Magic System ?;Zouglou;Trap;Folk américain;Raï;A
50;Quel artiste est souvent lié au cri et à l’énergie du coupé-décalé moderne ?;Dobet Gnahoré;DJ Arafat;Alpha Blondy;François Lougah;B
51;Quelle proposition décrit le mieux le zouglou ?;Une musique uniquement instrumentale;Une musique venue d’Asie;Une musique sociale et populaire ivoirienne;Une musique de carnaval brésilien;C
52;Quel genre ivoirien est directement associé à Meiway ?;Zouglou;Coupé-décalé;Mapouka;Zoblazo;D
53;Quel artiste ivoirien a chanté « Jérusalem » dans le registre reggae ?;Alpha Blondy;Serge Beynaud;DJ Arafat;A'Salfo;A
54;Quel style musical est souvent accompagné de pas de danse lancés comme phénomènes de mode ?;Jazz;Coupé-décalé;Opéra;Country;B
55;Quel genre musical ivoirien est souvent pratiqué par des groupes vocaux urbains ?;Fado;Techno;Zouglou;Métal;C
56;Quel mot ivoirien désigne couramment une personne qui chauffe l’ambiance dans une chanson ou une soirée ?;Soliste;Chef d’orchestre;Librettiste;Atalaku;D
57;Quel style musical ivoirien a inspiré le coupé-décalé ?;Zouglou;Valse;Polka;Samba;A
58;Quel artiste ivoirien est lié au titre « On dit quoi » ?;Didi B;Kerozen;Meiway;Alpha Blondy;B
59;Quel genre ivoirien est particulièrement lié à la danse et à la mise en scène de la réussite ?;Youssoumba;Gospel;Coupé-décalé;Reggae roots;C
60;Quel artiste ivoirien appartient à la scène rap ivoire ?;A'Salfo;Meiway;Josey;Didi B;D
61;Quel genre musical ivoirien est né dans un contexte d’expression estudiantine ?;Zouglou;Disco;Bluegrass;Salsa;A
62;Quel groupe ivoirien est associé au zouglou et au titre « 1er Gaou » ?;Les Patrons;Magic System;Les Salopards;Zo Gang;B
63;Quel artiste ivoirien est souvent lié au reggae africain engagé ?;Kédjévara;Serge Beynaud;Tiken Jah Fakoly;DJ Lewis;C
64;Quel genre ivoirien est connu pour son lien avec le peuple N’Zema à travers Meiway ?;Mapouka;Coupé-décalé;Rap ivoire;Zoblazo;D
65;Quel genre ivoirien met souvent en avant la dérision et la critique sociale ?;Zouglou;Techno;Flamenco;Fado;A
66;Quel chanteur ivoirien est associé au groupe Magic System ?;Kédjévara;A'Salfo;Didi B;DJ Mix;B
67;Quel genre musical a donné une place importante aux « boucantiers » ?;Gospel;Zoblazo;Coupé-décalé;Classique;C
68;Quel artiste ivoirien a marqué le coupé-décalé avant sa disparition en 2019 ?;Alpha Blondy;Meiway;Dobet Gnahoré;DJ Arafat;D
69;Quel style musical ivoirien est associé au terme « ambiance facile » ?;Wôyô;Rock;Raï;Country;A
70;Quel genre ivoirien a souvent recours aux slogans et aux refrains collectifs ?;Opéra;Zouglou;Blues;Punk;B
71;Quel artiste ivoirien est connu dans le rap ivoire et le groupe Kiff No Beat ?;Meiway;A'Salfo;Didi B;Alpha Blondy;C
72;Quel genre ivoirien est fortement associé aux DJ de maquis et aux pistes de danse ?;Zouglou traditionnel;Boloye rituel;Gospel chorale;Coupé-décalé;D
73;Quel genre musical ivoirien peut raconter la vie chère, l’école, l’amour ou la politique ?;Zouglou;Techno;Musique baroque;Country;A
74;Quel artiste ivoirien est connu pour le zoblazo et une carrière internationale ?;Debordo Leekunfa;Meiway;Didi B;Kerozen;B
75;Quel genre est lié à la tradition et aux danses du Sud côtier de la Côte d’Ivoire ?;Reggae;Rap ivoire;Mapouka;Trap;C
76;Quel mot revient souvent dans l’univers du coupé-décalé pour parler d’une tendance de danse ?;Roman;Récitatif;Concerto;Concept;D
77;Quel artiste ivoirien est une figure féminine reconnue de la scène afro-pop et variété ?;Josey;Douk Saga;Meiway;A'Salfo;A
78;Quel genre ivoirien est souvent associé aux messages de paix et de conscience dans sa version reggae ?;Zoblazo;Reggae ivoirien;Youssoumba;Mapouka;B
79;Quel artiste est un pionnier important du coupé-décalé ?;Dobet Gnahoré;Awa Maïga;Douk Saga;François Lougah;C
80;Quel style musical ivoirien utilise souvent des sonorités électroniques dansantes et répétitives ?;Abodan;Boloye;Classique;Coupé-décalé;D
81;Quel groupe de zouglou est composé d’Asalfo et de ses compagnons ?;Magic System;Kiff No Beat;Zo Gang;Choc Stars;A
82;Quel genre ivoirien est souvent joué en live dans les maquis avec beaucoup de participation du public ?;Tango;Wôyô;Country;Opéra;B
83;Quel artiste ivoirien est connu pour son chant reggae et son image de rastaman ?;Serge Beynaud;Kerozen;Alpha Blondy;Didi B;C
84;Quel genre ivoirien est une musique populaire qui a souvent fait danser l’Afrique francophone dans les années 2000 ?;Boloye;Polka;Fado;Coupé-décalé;D
85;Quel genre musical ivoirien se reconnaît par ses textes proches du quotidien populaire ?;Zouglou;Métal;Bossa nova;Bluegrass;A
86;Quel artiste ivoirien est connu pour « Plus rien ne m’étonne » ?;Meiway;Tiken Jah Fakoly;Bebi Philip;Ariel Sheney;B
87;Quel style ivoirien est lié au titre « Ayibebou » de Meiway ?;Zouglou;Coupé-décalé;Zoblazo;Rap ivoire;C
88;Quel artiste ivoirien a contribué à internationaliser le coupé-décalé auprès d’un large public ?;Alpha Blondy;A'Salfo;Dobet Gnahoré;DJ Arafat;D
89;Quel genre ivoirien est souvent associé aux étudiants des années 1990 ?;Zouglou;Reggaeton;Folk irlandais;Classique;A
90;Quel style musical ivoirien est aussi un univers de danse et d’attitude vestimentaire ?;Blues;Coupé-décalé;Country;Rumba cubaine;B
91;Quel artiste ivoirien est associé à une carrière internationale dans la world music et le Grammy ?;DJ Arafat;Kédjévara;Dobet Gnahoré;Debordo Leekunfa;C
92;Quel genre ivoirien est souvent interprété dans des cérémonies et fêtes traditionnelles du Nord ?;Zouglou;Zoblazo;Coupé-décalé;Boloye;D
93;Quel style musical ivoirien est lié aux groupes Les Patrons et Espoir 2000 ?;Zouglou;Rock;Trap américaine;Fado;A
94;Quel artiste est connu comme membre central de Magic System ?;Didi B;A'Salfo;Meiway;DJ Arafat;B
95;Quel genre musical ivoirien se caractérise par une forte dimension de danse urbaine ?;Opéra;Country;Coupé-décalé;Classique;C
96;Quel artiste ivoirien est très associé au zoblazo ?;Tiken Jah Fakoly;Alpha Blondy;Didi B;Meiway;D
97;Quel genre musical ivoirien est souvent porteur de conseils de vie ?;Zouglou;Techno;Jazz fusion;Salsa;A
98;Quel terme désigne la distribution ostentatoire d’argent dans certaines mises en scène du coupé-décalé ?;A cappella;Travaillement;Pizzicato;Falsetto;B
99;Quel artiste ivoirien appartient à la scène rap ivoire contemporaine ?;Meiway;Alpha Blondy;Suspect 95;François Lougah;C
100;Quel genre ivoirien est souvent associé au quartier, à la rue et au langage nouchi ?;Classique;Tango;Fado;Zouglou;D
101;Quel style musical ivoirien a popularisé l’expression « boucan » dans l’imaginaire populaire ?;Coupé-décalé;Opéra;Gospel;Folk;A
102;Quel artiste ivoirien est une figure de la chanson reggae africaine ?;DJ Lewis;Alpha Blondy;Kiff No Beat;Bebi Philip;B
103;Quel genre musical ivoirien est souvent chanté en groupe avec des messages sociaux ?;Mapouka;Zoblazo;Zouglou;Trap;C
104;Quel artiste est associé à la danse et aux concepts du coupé-décalé comme « Kpangor » ?;Tiken Jah Fakoly;A'Salfo;Meiway;DJ Arafat;D
105;Quel genre ivoirien a pour figure emblématique Meiway ?;Zoblazo;Country;Jazz;Reggaeton;A
106;Quelle langue populaire urbaine enrichit souvent les paroles du zouglou et du rap ivoire ?;Latin;Nouchi;Allemand;Russe;B
107;Quel genre ivoirien est né autour de la Jet Set ?;Zouglou;Mapouka;Coupé-décalé;Youssoumba;C
108;Quel style est associé à des chants d’ambiance ivoiriens souvent improvisés ?;Classique;Métal;Bossa nova;Wôyô;D
109;Quel artiste ivoirien est connu pour « Afriki » et des chansons engagées ?;Tiken Jah Fakoly;DJ Arafat;A'Salfo;Serge Beynaud;A
110;Quel genre ivoirien fait souvent danser avec des rythmes électroniques et percussifs ?;Fado;Coupé-décalé;Country;Opéra;B
111;Quel groupe ivoirien est associé au zouglou et à une forte notoriété internationale ?;Choc Stars;Zo Gang;Magic System;Wenge Musica;C
112;Quel genre ivoirien est une modernisation d’une danse traditionnelle du Sud ?;Zouglou;Rap ivoire;Reggae;Mapouka;D
113;Quel genre musical ivoirien est souvent lié aux messages de fraternité et d’humour social ?;Zouglou;Techno;House;Punk;A
114;Quel artiste ivoirien est associé à « 200% Zoblazo » ?;DJ Arafat;Meiway;Didi B;Kerozen;B
115;Quel genre ivoirien utilise souvent des noms de pas de danse devenant populaires ?;Reggae roots;Gospel;Coupé-décalé;Boloye;C
116;Quel artiste ivoirien est reconnu pour son reggae et son engagement contre les injustices ?;Bebi Philip;Serge Beynaud;Meiway;Tiken Jah Fakoly;D
117;Quel genre musical ivoirien est né dans les années 1990 et reste très populaire ?;Zouglou;Flamenco;Bluegrass;Polka;A
118;Quel style ivoirien est souvent animé par des chanteurs qui « chauffent » le public ?;Classique;Wôyô;Fado;Country;B
119;Quel artiste ivoirien est associé au titre « Moto Moto » ?;Meiway;Alpha Blondy;DJ Arafat;A'Salfo;C
120;Quel genre ivoirien a souvent des refrains simples et dansants dans les fêtes ?;Opéra;Metal symphonique;Jazz modal;Coupé-décalé;D
121;Quel artiste ivoirien a une carrière majeure dans le reggae depuis les années 1980 ?;Alpha Blondy;Kerozen;Bebi Philip;Didi B;A
122;Quel genre ivoirien peut être considéré comme une musique de témoignage social ?;Samba;Zouglou;Country;Jazz;B
123;Quel artiste ivoirien est associé au rap ivoire et au groupe Kiff No Beat ?;Tiken Jah Fakoly;Meiway;Didi B;François Lougah;C
124;Quel genre ivoirien est lié au style vestimentaire flamboyant des boucantiers ?;Mapouka;Boloye;Zouglou;Coupé-décalé;D
125;Quel style musical ivoirien est souvent joué dans les cérémonies et animations populaires ?;Wôyô;Classique;Blues;Fado;A
126;Quel artiste ivoirien est connu pour le zoblazo et le mouchoir blanc ?;DJ Arafat;Meiway;A'Salfo;Debordo Leekunfa;B
127;Quel genre ivoirien est lié à des chansons comme « Premier Gaou » ?;Coupé-décalé;Mapouka;Zouglou;Boloye;C
128;Quel artiste ivoirien a eu une grande influence sur la culture des fans appelés « Chinois » ?;Alpha Blondy;Meiway;Tiken Jah Fakoly;DJ Arafat;D
129;Quel genre ivoirien donne souvent une place centrale à la danse collective ?;Coupé-décalé;Opéra;Folk celtique;Jazz classique;A
130;Quel style musical ivoirien est souvent associé à des textes humoristiques sur la vie quotidienne ?;Techno;Zouglou;Metal;Country;B
131;Quel artiste ivoirien est connu pour le reggae et des chansons en français, dioula ou anglais ?;DJ Lewis;Serge Beynaud;Alpha Blondy;Ariel Sheney;C
132;Quel genre ivoirien a popularisé des expressions comme « farot » dans l’ambiance musicale ?;Zoblazo;Youssoumba;Gospel;Coupé-décalé;D
133;Quel style musical ivoirien a des racines dans les campus et les quartiers populaires ?;Zouglou;Bossa nova;Salsa;Rumba cubaine;A
134;Quel artiste ivoirien est connu pour son titre « Coupé-décalé » et ses concepts de danse ?;Dobet Gnahoré;DJ Arafat;Meiway;Awa Maïga;B
135;Quel genre ivoirien mélange souvent tradition, danse et modernité dans l’univers de Meiway ?;Rap ivoire;Reggae;Zoblazo;Gospel;C
136;Quel style ivoirien repose souvent sur la parole rythmée, les punchlines et la culture urbaine ?;Boloye;Zouglou ancien;Wôyô;Rap ivoire;D
137;Quel genre ivoirien peut être chanté en français et en langues locales ?;Zouglou;Classique allemand;Country américain;Fado portugais;A
138;Quel artiste ivoirien est connu pour « Un Gaou à Paris » avec Magic System ?;Serge Beynaud;A'Salfo;DJ Arafat;Didi B;B
139;Quel genre musical ivoirien est associé à la Jet Set parisienne des années 2000 ?;Zouglou;Mapouka;Coupé-décalé;Wôyô;C
140;Quel artiste ivoirien est lié au reggae et au titre « Course au pouvoir » ?;Meiway;DJ Arafat;Didi B;Tiken Jah Fakoly;D
141;Quel genre ivoirien est souvent utilisé pour faire passer des messages de société ?;Zouglou;Techno;Polka;Country;A
142;Quel artiste ivoirien a popularisé le zoblazo avec Zo Gang ?;Kédjévara;Meiway;DJ Mix;Ariel Sheney;B
143;Quel genre ivoirien a une grande place dans les mariages, anniversaires et maquis ?;Opéra;Blues;Wôyô;Classique;C
144;Quel style ivoirien est lié à des DJ, à l’énergie des clubs et aux danses virales ?;Zouglou acoustique;Boloye;Youssoumba;Coupé-décalé;D
145;Quel artiste ivoirien est une grande voix féminine de la world music ?;Dobet Gnahoré;Meiway;Debordo Leekunfa;DJ Lewis;A
146;Quel genre ivoirien est aussi associé à des groupes comme Yodé et Siro ?;Reggaeton;Zouglou;Salsa;Rap américain;B
147;Quel chanteur ivoirien est connu pour le reggae et le titre « Multipartisme » ?;A'Salfo;Didi B;Tiken Jah Fakoly;Serge Beynaud;C
148;Quel genre ivoirien se reconnaît souvent par des paroles en nouchi et des chorégraphies ?;Country;Blues;Classique;Coupé-décalé;D
149;Quel style ivoirien est lié à l’expression « musique de la galère » dans son imaginaire social ?;Zouglou;Jazz;Fado;Samba;A
150;Quel artiste ivoirien est souvent associé à la chanson « Miss Lolo » ?;Tiken Jah Fakoly;Meiway;DJ Mix;Didi B;B
151;Quel genre ivoirien est souvent porté par des DJ et arrangeurs ?;Zouglou traditionnel;Boloye;Coupé-décalé;Opéra;C
152;Quel style ivoirien est particulièrement populaire dans les fêtes de rue et animations de quartier ?;Classique;Fado;Metal;Wôyô;D
153;Quel artiste ivoirien est associé au reggae et au titre « Cocody Rock » ?;Alpha Blondy;Kerozen;DJ Arafat;Bebi Philip;A
154;Quel genre ivoirien est lié à une danse originaire de Dabou ?;Zoblazo;Mapouka;Reggae;Rap ivoire;B
155;Quel artiste est une figure du coupé-décalé et du « boucan » ?;A'Salfo;Dobet Gnahoré;Douk Saga;Alpha Blondy;C
156;Quel genre ivoirien met souvent en avant les réalités des jeunes avec un ton direct ?;Salsa;Rumba;Classique;Zouglou;D
157;Quel genre musical ivoirien est souvent associé à l’expression « ambiance » ?;Coupé-décalé;Opéra;Fado;Country;A
158;Quel artiste ivoirien est associé au zouglou à travers Magic System ?;Tiken Jah Fakoly;A'Salfo;Meiway;DJ Arafat;B
159;Quel style musical ivoirien peut intégrer des rythmes traditionnels du Sud dans une forme moderne ?;Techno;Country;Zoblazo;Métal;C
160;Quel genre ivoirien a fait connaître des danses comme « Décalé Gwada » ou « Coupé-décalé » ?;Zouglou;Boloye;Reggae;Coupé-décalé;D
161;Quel genre musical ivoirien est souvent chanté à plusieurs voix avec humour ?;Zouglou;Bossa nova;Rock anglais;Country;A
162;Quel artiste ivoirien est connu dans la chanson urbaine et inspirante avec « La victoire » ?;DJ Arafat;Kerozen;Meiway;A'Salfo;B
163;Quel genre ivoirien est porté par les artistes comme Serge Beynaud et DJ Arafat ?;Reggae;Zoblazo;Coupé-décalé;Boloye;C
164;Quel artiste ivoirien est un symbole du reggae africain mondialement connu ?;Debordo Leekunfa;Kédjévara;Bebi Philip;Alpha Blondy;D
165;Quel genre ivoirien a souvent des textes de conseil et de moralité populaire ?;Zouglou;Techno;Country;Jazz;A
166;Quel genre musical ivoirien est associé à la Jet Set et aux soirées parisiennes ?;Zoblazo;Coupé-décalé;Mapouka;Gospel;B
167;Quel artiste ivoirien a popularisé le zoblazo en mélangeant modernité et rythmes traditionnels ?;DJ Arafat;A'Salfo;Meiway;Tiken Jah Fakoly;C
168;Quel style ivoirien est une forme de rap produite par les artistes urbains de Côte d’Ivoire ?;Boloye;Mapouka;Youssoumba;Rap ivoire;D
169;Quel genre ivoirien est lié à des groupes comme Les Garagistes et Espoir 2000 ?;Zouglou;Salsa;Opéra;Jazz;A
170;Quel artiste ivoirien est connu pour la chanson « Premier Gaou » avec Magic System ?;Meiway;A'Salfo;DJ Arafat;Dobet Gnahoré;B
171;Quel genre ivoirien est souvent rapide, festif et basé sur la danse ?;Reggae roots;Classique;Coupé-décalé;Fado;C
172;Quel genre ivoirien peut être interprété en direct avec percussion, chants et interaction du public ?;Opéra baroque;Techno minimale;Country;Wôyô;D
173;Quel artiste ivoirien est une référence du reggae en Côte d’Ivoire ?;Tiken Jah Fakoly;Serge Beynaud;DJ Lewis;Kédjévara;A
174;Quel style musical ivoirien est souvent lié au monde estudiantin dans son origine ?;Coupé-décalé;Zouglou;Zoblazo;Mapouka;B
175;Quel genre musical ivoirien est souvent associé à des danses lancées par des DJ ?;Gospel;Reggae;Coupé-décalé;Blues;C
176;Quel artiste ivoirien est connu pour le zoblazo et le titre « 200% Zoblazo » ?;Didi B;A'Salfo;DJ Arafat;Meiway;D
177;Quel genre ivoirien est souvent utilisé pour dénoncer les problèmes sociaux avec humour ?;Zouglou;Classique;Polka;Country;A
178;Quel style ivoirien est lié aux performances flamboyantes et à la fête urbaine ?;Fado;Coupé-décalé;Jazz;Opéra;B
179;Quel artiste ivoirien est associé au titre « Jérusalem » ?;Meiway;Didi B;Alpha Blondy;DJ Arafat;C
180;Quel genre ivoirien est une danse modernisée originaire de communautés côtières ?;Zouglou;Rap ivoire;Reggae;Mapouka;D
181;Quel artiste ivoirien est connu pour le reggae et son engagement panafricain ?;Alpha Blondy;Kerozen;Serge Beynaud;Bebi Philip;A
182;Quel genre musical ivoirien est souvent appelé musique des étudiants et des quartiers ?;Metal;Zouglou;Country;Salsa;B
183;Quel artiste ivoirien est associé au coupé-décalé et à la danse « Moto Moto » ?;Meiway;Tiken Jah Fakoly;DJ Arafat;A'Salfo;C
184;Quel genre ivoirien a pour figure historique Douk Saga ?;Zouglou;Zoblazo;Mapouka;Coupé-décalé;D
185;Quel style ivoirien peut être animé avec des tambours, des chants et une forte participation populaire ?;Wôyô;Classique;Blues;Country;A
186;Quel artiste ivoirien est lié au reggae et au titre « Plus rien ne m’étonne » ?;DJ Arafat;Tiken Jah Fakoly;A'Salfo;Meiway;B
187;Quel genre ivoirien est souvent associé à la danse du mouchoir blanc ?;Zouglou;Coupé-décalé;Zoblazo;Rap ivoire;C
188;Quel groupe ivoirien a popularisé le zouglou dans plusieurs pays francophones ?;Zo Gang;Kiff No Beat;Choc Stars;Magic System;D
189;Quel genre ivoirien est fortement lié à la notion de « concept » musical ?;Coupé-décalé;Opéra;Fado;Country;A
190;Quel artiste ivoirien est une figure du rap ivoire contemporain ?;Meiway;Suspect 95;Alpha Blondy;François Lougah;B
191;Quel genre ivoirien parle souvent de la vie quotidienne avec des expressions populaires ?;Techno;Métal;Zouglou;Classique;C
192;Quel artiste ivoirien est lié à la scène reggae et à des concerts internationaux engagés ?;DJ Lewis;Serge Beynaud;Bebi Philip;Tiken Jah Fakoly;D
193;Quel genre ivoirien est une musique populaire de fête et de danse urbaine ?;Coupé-décalé;Fado;Country;Opéra;A
194;Quel artiste ivoirien est souvent associé à la chanson « Ayibebou » ?;Didi B;Meiway;DJ Arafat;A'Salfo;B
195;Quel style musical ivoirien est souvent porté par des groupes racontant la société avec humour ?;Boloye;Zoblazo;Zouglou;Techno;C
196;Quel genre ivoirien est souvent lié à la tradition mandingue et aux cérémonies du Nord ?;Rap ivoire;Zouglou;Coupé-décalé;Boloye;D
197;Quel artiste ivoirien a marqué la musique reggae africaine avec « Brigadier Sabari » ?;Alpha Blondy;Meiway;Kerozen;DJ Arafat;A
198;Quel style ivoirien fait souvent appel au nouchi, aux clubs et aux pas de danse populaires ?;Classique;Coupé-décalé;Country;Jazz;B
199;Quel genre ivoirien a révélé Magic System à un très large public ?;Rap ivoire;Mapouka;Zouglou;Boloye;C
200;Quel artiste ivoirien est considéré comme une grande icône du coupé-décalé ?;Meiway;A'Salfo;Tiken Jah Fakoly;DJ Arafat;D
